test_name,millis,elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,accel_dynamic_g
desk_still,4944,872,0.1821,-0.0642,0.9314,-4.80,-0.24,-0.74,0.9512,0.0488
desk_still,4956,884,0.1777,-0.0720,0.9297,-4.92,-0.19,-0.77,0.9493,0.0507
desk_still,4968,896,0.1814,-0.0642,0.9282,-4.95,-0.40,-0.90,0.9480,0.0520
desk_still,4980,908,0.1724,-0.0703,0.9167,-4.92,-0.15,-0.56,0.9355,0.0645
desk_still,4992,920,0.1807,-0.0676,0.9231,-4.70,-0.21,-0.60,0.9430,0.0570
desk_still,5004,932,0.1741,-0.0669,0.9243,-4.76,-0.34,-0.74,0.9429,0.0571
desk_still,5016,944,0.1694,-0.0667,0.9307,-4.88,-0.40,-0.72,0.9483,0.0517
desk_still,5028,956,0.1804,-0.0613,0.9333,-4.97,-0.21,-0.49,0.9526,0.0474
desk_still,5040,968,0.1768,-0.0679,0.9277,-4.98,-0.11,-0.60,0.9469,0.0531
desk_still,5073,1001,0.1772,-0.0669,0.9319,-4.86,-0.16,-0.95,0.9509,0.0491
desk_still,5085,1013,0.1768,-0.0652,0.9316,-4.89,-0.15,-0.76,0.9505,0.0495
desk_still,5097,1025,0.1760,-0.0708,0.9263,-4.86,-0.13,-0.50,0.9455,0.0545
desk_still,5109,1037,0.1738,-0.0725,0.9277,-5.06,-0.08,-0.73,0.9467,0.0533
desk_still,5121,1049,0.1777,-0.0718,0.9263,-4.95,-0.02,-0.85,0.9459,0.0541
desk_still,5133,1061,0.1738,-0.0627,0.9250,-5.05,-0.12,-0.64,0.9433,0.0567
desk_still,5145,1073,0.1741,-0.0684,0.9399,-4.60,-0.25,-0.73,0.9584,0.0416
desk_still,5157,1085,0.1748,-0.0618,0.9299,-5.02,-0.19,-0.62,0.9482,0.0518
desk_still,5169,1097,0.1707,-0.0681,0.9304,-4.70,-0.03,-0.57,0.9484,0.0516
desk_still,5181,1109,0.1792,-0.0674,0.9216,-4.96,-0.21,-0.50,0.9413,0.0587
desk_still,5209,1137,0.1670,-0.0701,0.9272,-4.75,-0.37,-0.69,0.9448,0.0552
desk_still,5221,1149,0.1758,-0.0664,0.9255,-4.85,-0.07,-0.60,0.9444,0.0556
desk_still,5233,1161,0.1741,-0.0679,0.9265,-4.94,-0.14,-0.53,0.9452,0.0548
desk_still,5245,1173,0.1792,-0.0635,0.9246,-4.95,-0.15,-0.85,0.9439,0.0561
desk_still,5257,1185,0.1758,-0.0649,0.9304,-4.98,-0.24,-0.73,0.9491,0.0509
desk_still,5269,1197,0.1758,-0.0671,0.9255,-4.79,0.02,-0.68,0.9445,0.0555
desk_still,5281,1209,0.1741,-0.0659,0.9336,-4.77,-0.36,-0.56,0.9520,0.0480
desk_still,5293,1221,0.1760,-0.0632,0.9270,-4.93,-0.06,-0.53,0.9457,0.0543
desk_still,5305,1233,0.1775,-0.0669,0.9299,-4.71,-0.08,-0.60,0.9491,0.0509
desk_still,5317,1245,0.1819,-0.0757,0.9229,-4.96,-0.08,-0.69,0.9436,0.0564
desk_still,5350,1278,0.1746,-0.0703,0.9302,-4.85,-0.14,-0.83,0.9490,0.0510
desk_still,5362,1290,0.1746,-0.0662,0.9268,-4.86,-0.24,-0.64,0.9454,0.0546
desk_still,5374,1302,0.1711,-0.0652,0.9219,-4.73,-0.23,-0.73,0.9399,0.0601
desk_still,5386,1314,0.1777,-0.0647,0.9202,-4.92,-0.25,-0.59,0.9394,0.0606
desk_still,5398,1326,0.1753,-0.0623,0.9297,-4.92,-0.15,-0.78,0.9481,0.0519
desk_still,5410,1338,0.1780,-0.0637,0.9250,-4.96,-0.21,-0.65,0.9442,0.0558
desk_still,5422,1350,0.1753,-0.0657,0.9238,-4.80,-0.08,-0.86,0.9426,0.0574
desk_still,5434,1362,0.1768,-0.0652,0.9348,-5.05,-0.23,-0.89,0.9536,0.0464
desk_still,5446,1374,0.1775,-0.0691,0.9287,-4.89,-0.24,-0.47,0.9480,0.0520
desk_still,5458,1386,0.1804,-0.0664,0.9282,-4.90,-0.21,-0.67,0.9479,0.0521
